restaurant_link,restaurant_name,original_location,country,region,province,city,address,latitude,longitude,claimed,awards,popularity_detailed,popularity_generic,top_tags,price_level,price_range,meals,cuisines,special_diets,features,vegetarian_friendly,vegan_options,gluten_free,original_open_hours,open_days_per_week,open_hours_per_week,working_shifts_per_week,avg_rating,total_reviews_count,default_language,reviews_count_in_default_language,excellent,very_good,average,poor,terrible,food,service,value,atmosphere,keywords
g187309-d10000500,Shami,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Marktstr. 6, 80802 Munich, Bavaria Germany",48.161884,11.588672,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017",#46 of 2846 Restaurants in Munich,#48 of 3608 places to eat in Munich,"Mid-range, Asian, Vietnamese, Vegetarian Friendly",€€-€€€,,"Lunch, Dinner","Asian, Vietnamese","Vegetarian Friendly, Gluten Free Options, Vegan Options",,Y,Y,Y,"{""Mon"": [""11:00-14:30"", ""17:30-23:00""], ""Tue"": [""11:00-14:30"", ""17:30-23:00""], ""Wed"": [""11:00-14:30"", ""17:30-23:00""], ""Thu"": [""11:00-14:30"", ""17:30-23:00""], ""Fri"": [""11:00-14:30"", ""17:30-23:00""], ""Sat"": [""17:00-23:00""], ""Sun"": [""13:00-22:00""]}",7.0,60.0,12.0,4.5,183.0,English,31.0,18.0,10.0,3.0,0.0,0.0,4.5,4.0,4.0,,"dumplings, asian food, munich restaurant, schwabing, starters"
g187309-d10021981,Trumpf oder Kritisch,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Feilitzschstrasse 14, 80802 Munich, Bavaria Germany",48.16104,11.58922,Unclaimed,,#1082 of 2846 Restaurants in Munich,#1185 of 3608 places to eat in Munich,"Mid-range, German, Vegetarian Friendly",€€-€€€,,Dinner,German,Vegetarian Friendly,,Y,N,N,,,,,4.0,52.0,English,5.0,3.0,2.0,0.0,0.0,0.0,4.0,4.0,4.0,,
g187309-d10025671,Chocolaterie Eva,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Arnulfstr. 20, 80335 Munich, Bavaria Germany",48.141872,11.557834,Unclaimed,,#81 of 89 Dessert Spots in Munich,#2594 of 3608 places to eat in Munich,"Mid-range, Dessert",€€-€€€,€4-€15,,,,,N,N,N,,,,,4.0,4.0,English,1.0,0.0,1.0,0.0,0.0,0.0,,,,,
g187309-d10025883,Yildiz,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Kazmairstr. 37, 80339 Munich, Bavaria Germany",48.13451,11.54163,Unclaimed,,,,Cheap Eats,€,€4-€10,,,,,N,N,N,,,,,,,,,,,,,,,,,,
g187309-d10027839,Pizza Best,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Burgauerstr. 117, 81929 Munich, Bavaria Germany",48.14976,11.65731,Unclaimed,,#2392 of 2846 Restaurants in Munich,#2674 of 3608 places to eat in Munich,Pizza,,,,Pizza,,,N,N,N,,,,,3.5,3.0,All languages,3.0,2.0,0.0,0.0,0.0,1.0,,,,,
g187309-d10028945,Gustosa,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Schleissheimer Str. 506, 80933 Munich, Bavaria Germany",48.21291,11.56368,Unclaimed,,#2200 of 2846 Restaurants in Munich,#2461 of 3608 places to eat in Munich,,,,,,,,N,N,N,,,,,5.0,2.0,English,1.0,1.0,0.0,0.0,0.0,0.0,,,,,
g187309-d10031271,Evelinas bistrobar,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Schleissheimer Str. 69 Eingang Görresstraße, 80797 Munich, Bavaria Germany",48.15629,11.56168,Unclaimed,,#2047 of 2846 Restaurants in Munich,#2288 of 3608 places to eat in Munich,,,,Dinner,,,,N,N,N,"{""Mon"": [""17:00-01:00""], ""Tue"": [""17:00-01:00""], ""Wed"": [""17:00-01:00""], ""Thu"": [""17:00-01:00""], ""Fri"": [""17:00-01:00""], ""Sat"": [], ""Sun"": []}",5.0,40.0,5.0,4.5,4.0,All languages,4.0,2.0,2.0,0.0,0.0,0.0,,,,,
g187309-d10033159,Nihao,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Pasinger Bahnhofsplatz 2, 81241 Munich, Bavaria Germany",48.148705,11.460538,Unclaimed,,#1805 of 2846 Restaurants in Munich,#2010 of 3608 places to eat in Munich,"Cheap Eats, Chinese, Asian, Vegetarian Friendly",€,,"Lunch, Dinner","Chinese, Asian",Vegetarian Friendly,,Y,N,N,"{""Mon"": [""11:30-21:00""], ""Tue"": [""11:30-21:00""], ""Wed"": [""11:30-21:00""], ""Thu"": [""11:30-21:00""], ""Fri"": [""11:30-21:00""], ""Sat"": [""11:30-21:00""], ""Sun"": [""11:30-21:00""]}",7.0,66.5,7.0,3.5,21.0,English,3.0,1.0,1.0,0.0,0.0,1.0,4.0,3.0,4.0,,
g187309-d10034042,Cornelius Tagesbar,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Corneliusstr. 31, 80469 Munich, Bavaria Germany",48.13051,11.57804,Unclaimed,,#1930 of 2846 Restaurants in Munich,#2147 of 3608 places to eat in Munich,,,,,,,,N,N,N,,,,,4.5,5.0,English,1.0,0.0,1.0,0.0,0.0,0.0,,,,,
g187309-d10040169,Gasthaus Tannengarten,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Pfeuferstr. 32, 81373 Munich, Bavaria Germany",48.123096,11.541226,Unclaimed,Certificate of Excellence 2018,#1309 of 2846 Restaurants in Munich,#1446 of 3608 places to eat in Munich,"Mid-range, German, Vegetarian Friendly, Gluten Free Options",€€-€€€,,"Lunch, Dinner",German,"Vegetarian Friendly, Gluten Free Options",,Y,N,Y,"{""Mon"": [], ""Tue"": [], ""Wed"": [""17:00-23:00""], ""Thu"": [""17:00-23:00""], ""Fri"": [""17:00-23:00""], ""Sat"": [""11:30-23:00""], ""Sun"": [""11:30-23:00""]}",5.0,41.0,5.0,3.5,71.0,English,3.0,1.0,1.0,1.0,0.0,0.0,3.5,4.0,3.5,,
g187309-d10047399,Kreta Meer,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Moosacher Str. 81, 80809 Munich, Bavaria Germany",48.18589,11.552263,Unclaimed,"Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017",#531 of 2846 Restaurants in Munich,#571 of 3608 places to eat in Munich,"Mid-range, Seafood, Mediterranean, European",€€-€€€,,"Lunch, Dinner","Seafood, Mediterranean, Greek, European",Vegetarian Friendly,,Y,N,N,,,,,4.0,96.0,English,22.0,11.0,10.0,0.0,0.0,1.0,4.5,4.5,4.0,,
g187309-d10047654,L'Osteria Munchen Hauptbahnhof,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Arnulfstrasse 1 Opposite to Central station, 80335 Munich, Bavaria Germany",48.141052,11.559457,Claimed,,#655 of 2846 Restaurants in Munich,#703 of 3608 places to eat in Munich,"Mid-range, Italian, Pizza, Mediterranean",€€-€€€,,"Lunch, Dinner, After-hours, Drinks","Italian, Pizza, Mediterranean","Vegetarian Friendly, Vegan Options",,Y,Y,N,"{""Mon"": [""11:00-23:00""], ""Tue"": [""11:00-23:00""], ""Wed"": [""11:00-23:00""], ""Thu"": [""11:00-00:00""], ""Fri"": [""11:00-00:00""], ""Sat"": [""11:00-00:00""], ""Sun"": [""12:00-23:00""]}",7.0,86.0,7.0,3.5,249.0,English,93.0,33.0,26.0,13.0,7.0,14.0,4.0,3.5,4.0,,
g187309-d10056433,Galeria Kaufhof Munchen Marienplatz,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Kaufingerstr. 1-5 4 Obergeschoss, 80331 Munich, Bavaria Germany",48.13716,11.574719,Unclaimed,"Certificate of Excellence 2018, Certificate of Excellence 2017",#1 of 4 Speciality Food Markets in Munich,#257 of 3608 places to eat in Munich,"Mid-range, Speciality Food Market, Vegetarian Friendly",€€-€€€,,Brunch,,Vegetarian Friendly,"Wheelchair Accessible, Takeout, Seating, Serves Alcohol",Y,N,N,,,,,4.5,82.0,English,24.0,10.0,13.0,1.0,0.0,0.0,4.0,4.0,4.0,,
g187309-d10060342,The Italian Shot Maxvorstadt,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Theresienstr. 40, 80333 Munich, Bavaria Germany",48.148067,11.575064,Claimed,Certificate of Excellence 2019,#2528 of 2846 Restaurants in Munich,#2823 of 3608 places to eat in Munich,"Mid-range, Italian, Pizza, Mediterranean",€€-€€€,€5-€18,,"Italian, Pizza, Mediterranean, European","Vegetarian Friendly, Vegan Options",,Y,Y,N,"{""Mon"": [""11:30-15:00"", ""17:00-00:00""], ""Tue"": [""09:00-00:00""], ""Wed"": [""09:00-00:00""], ""Thu"": [""09:00-00:00""], ""Fri"": [""09:00-00:00""], ""Sat"": [""12:00-00:00""], ""Sun"": [""13:00-23:00""]}",7.0,92.5,8.0,4.0,84.0,English,10.0,4.0,4.0,1.0,1.0,0.0,4.0,3.5,3.5,,
g187309-d10066461,Ristorante Pizzeria Florenz,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Helene-Weber-Allee 9 Tram 20, 21 Haltestelle Heideckstraße, 80637 Munich, Bavaria Germany",48.16272,11.544528,Claimed,,#600 of 2846 Restaurants in Munich,#643 of 3608 places to eat in Munich,"Mid-range, Italian, Pizza, Mediterranean",€€-€€€,,"Dinner, Lunch","Italian, Pizza, Mediterranean",Vegetarian Friendly,,Y,N,N,"{""Mon"": [""11:00-14:30"", ""17:00-22:00""], ""Tue"": [""11:00-14:30"", ""17:00-22:00""], ""Wed"": [""11:00-14:30"", ""17:00-22:00""], ""Thu"": [""11:00-14:30"", ""17:00-22:00""], ""Fri"": [""11:00-14:30"", ""17:00-22:00""], ""Sat"": [""17:00-22:00""], ""Sun"": [""17:00-22:00""]}",7.0,52.5,12.0,4.5,28.0,English,1.0,1.0,0.0,0.0,0.0,0.0,4.5,5.0,5.0,,
g187309-d10066600,Little Rabbit's Room,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Wiener Platz 6, 81667 Munich, Bavaria Germany",48.13449,11.59629,Unclaimed,,#201 of 217 Coffee & Tea in Munich,#2979 of 3608 places to eat in Munich,"Mid-range, Cafe, Deli",€€-€€€,,Breakfast,"Cafe, Deli",,Seating,N,N,N,,,,,3.0,13.0,English,1.0,0.0,0.0,1.0,0.0,0.0,,,,,
g187309-d10067347,MILOS,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Donnersbergerstr. 30, 80634 Munich, Bavaria Germany",48.148994,11.534081,Claimed,Certificate of Excellence 2017,#1285 of 2846 Restaurants in Munich,#1416 of 3608 places to eat in Munich,"Mid-range, International, Mediterranean, Greek",€€-€€€,€7-€27,,"International, Greek, Mediterranean",Vegetarian Friendly,,Y,N,N,"{""Mon"": [""11:00-00:00""], ""Tue"": [""11:00-00:00""], ""Wed"": [""11:00-00:00""], ""Thu"": [""11:00-00:00""], ""Fri"": [""11:00-00:00""], ""Sat"": [""11:00-00:00""], ""Sun"": [""11:00-00:00""]}",7.0,91.0,7.0,4.0,66.0,English,8.0,5.0,1.0,1.0,0.0,1.0,4.5,4.0,4.0,,
g187309-d10073431,Gundelinde,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Gundelindenstr. 11 gute Parkmöglichkeiten vor dem Laden, 5 Min U-Bahn Dietlindenstr., 80805 Munich, Bavaria Germany",48.16829,11.59596,Claimed,,#1882 of 2846 Restaurants in Munich,#2093 of 3608 places to eat in Munich,Cheap Eats,€,€5-€8,"Breakfast, Lunch, Brunch, Drinks",,,,N,N,N,"{""Mon"": [""09:00-15:00""], ""Tue"": [""09:00-15:00""], ""Wed"": [""09:00-15:00""], ""Thu"": [""09:00-15:00""], ""Fri"": [""09:00-15:00""], ""Sat"": [], ""Sun"": []}",5.0,30.0,5.0,5.0,4.0,All languages,4.0,4.0,0.0,0.0,0.0,0.0,,,,,
g187309-d10074557,Filos,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Rumfordstr. 39, 80469 Munich, Bavaria Germany",48.13403,11.58036,Unclaimed,,,,Cheap Eats,€,€3-€12,,,,,N,N,N,,,,,,,,,,,,,,,,,,
g187309-d10076280,Speisezimmer,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Camerloherstr. 82, 80689 Munich, Bavaria Germany",48.13378,11.49881,Unclaimed,,#1232 of 2846 Restaurants in Munich,#1354 of 3608 places to eat in Munich,"German, European, Central European",,,"Breakfast, Lunch, Dinner","German, European, Central European",,,N,N,N,,,,,5.0,12.0,All languages,12.0,11.0,0.0,1.0,0.0,0.0,4.5,4.5,5.0,,
g187309-d10080625,Dean & David,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Karlsplatz Stachus 1. UG, Laden A270, 80335 Munich, Bavaria Germany",48.14011,11.56591,Claimed,,#2465 of 2846 Restaurants in Munich,#2756 of 3608 places to eat in Munich,"Cheap Eats, Vegetarian Friendly, Vegan Options",€,,"Lunch, Breakfast, Dinner",,"Vegetarian Friendly, Vegan Options","Takeout, Seating",Y,Y,N,"{""Mon"": [""08:00-21:00""], ""Tue"": [""08:00-21:00""], ""Wed"": [""08:00-21:00""], ""Thu"": [""08:00-21:00""], ""Fri"": [""08:00-21:00""], ""Sat"": [""08:00-21:00""], ""Sun"": [""12:00-20:00""]}",7.0,86.0,7.0,3.5,21.0,English,8.0,2.0,4.0,1.0,0.0,1.0,4.5,4.0,3.5,,
g187309-d10083072,Chocolatte Konditorei & Backerei,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Prinzregentenstr. 111, 81677 Munich, Bavaria Germany",48.13852,11.61114,Unclaimed,,#51 of 217 Coffee & Tea in Munich,#1034 of 3608 places to eat in Munich,"Cheap Eats, Cafe, Vegetarian Friendly",€,,Breakfast,Cafe,Vegetarian Friendly,,Y,N,N,,,,,4.5,24.0,English,4.0,2.0,2.0,0.0,0.0,0.0,4.5,4.0,4.5,,
g187309-d10083958,Kistenpfennig Familienbäckerei,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Amalienstr. 28, 80333 Munich, Bavaria Germany",48.14759,11.57682,Unclaimed,,#79 of 217 Coffee & Tea in Munich,#1379 of 3608 places to eat in Munich,"Mid-range, Bakeries, German, Cafe",€€-€€€,,"Breakfast, Brunch, Lunch","Cafe, German","Vegetarian Friendly, Vegan Options",,Y,Y,N,,,,,4.0,35.0,English,9.0,5.0,3.0,1.0,0.0,0.0,4.0,3.5,4.0,,
g187309-d10084208,Sendlinger Treff,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Plinganserstr. 14a, 81369 Munich, Bavaria Germany",48.120926,11.540828,Unclaimed,,#1862 of 2846 Restaurants in Munich,#2070 of 3608 places to eat in Munich,Cheap Eats,€,,,,,Reservations,N,N,N,,,,,4.5,5.0,English,1.0,0.0,1.0,0.0,0.0,0.0,,,,,
g187309-d10085253,"Relax - Food, Drinks & You","[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Senefelderstr. 9, 80336 Munich, Bavaria Germany",48.138115,11.560163,Claimed,,#1038 of 2846 Restaurants in Munich,#1132 of 3608 places to eat in Munich,"Mid-range, American, Street Food, Central European",€€-€€€,€6-€27,"Breakfast, Lunch, Dinner, Drinks","Street Food, American, Central European",,,N,N,N,"{""Mon"": [""06:30-01:00""], ""Tue"": [""06:30-01:00""], ""Wed"": [""06:30-01:00""], ""Thu"": [""06:30-01:00""], ""Fri"": [""06:30-01:00""], ""Sat"": [""06:30-01:00""], ""Sun"": [""06:30-01:00""]}",7.0,129.5,7.0,4.5,27.0,English,11.0,6.0,4.0,1.0,0.0,0.0,,,,,
g187309-d10087869,Heiliggeist 1 Bar,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Heiliggeiststr. 1, 80331 Munich, Bavaria Germany",48.13586,11.57772,Claimed,,#34 of 44 Bars & Pubs in Munich,#2465 of 3608 places to eat in Munich,"Bar, Pub",,,,"Bar, Pub",,"Seating, Wheelchair Accessible",N,N,N,,,,,4.0,14.0,English,6.0,3.0,2.0,1.0,0.0,0.0,,,,,
g187309-d10089475,Hai Asia Vietnamesische Kuche & Sushi,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Altheimer Eck 1, 80331 Munich, Bavaria Germany",48.13724,11.57108,Unclaimed,,#1875 of 2846 Restaurants in Munich,#2085 of 3608 places to eat in Munich,"Cheap Eats, Japanese, Vietnamese",€,€3-€7,,"Japanese, Vietnamese",,,N,N,N,,,,,4.0,6.0,English,2.0,1.0,1.0,0.0,0.0,0.0,,,,,
g187309-d1009121,Nefeli,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Berger-Kreuz-Str. 26, 81735 Munich, Bavaria Germany",48.115166,11.625519,Unclaimed,"Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015, Certificate of Excellence 2014, Certificate of Excellence 2013, Certificate of Excellence 2012",#467 of 2846 Restaurants in Munich,#501 of 3608 places to eat in Munich,"Mid-range, Seafood, Mediterranean, European",€€-€€€,,"Lunch, Dinner, After-hours","Seafood, Mediterranean, European, Greek","Vegetarian Friendly, Vegan Options, Gluten Free Options",,Y,Y,Y,"{""Mon"": [""17:00-01:00""], ""Tue"": [""17:00-01:00""], ""Wed"": [""17:00-01:00""], ""Thu"": [""17:00-01:00""], ""Fri"": [""17:00-01:00""], ""Sat"": [""17:00-01:00""], ""Sun"": [""11:30-01:00""]}",7.0,61.5,7.0,4.5,360.0,English,52.0,34.0,10.0,3.0,1.0,4.0,4.5,4.0,4.0,4.0,
g187309-d10093015,BLOCK HOUSE Elisenhof,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Prielmayerstr. 1, 80335 Munich, Bavaria Germany",48.141235,11.561431,Claimed,"Certificate of Excellence 2018, Certificate of Excellence 2017",#133 of 2846 Restaurants in Munich,#145 of 3608 places to eat in Munich,"Mid-range, Steakhouse, Barbecue, European",€€-€€€,€4-€30,"Lunch, Dinner","Steakhouse, Barbecue, European","Vegetarian Friendly, Gluten Free Options","Reservations, Outdoor Seating, Seating, Highchairs Available, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service",Y,N,Y,"{""Mon"": [""12:00-21:00""], ""Tue"": [""12:00-21:00""], ""Wed"": [""12:00-21:00""], ""Thu"": [""12:00-21:00""], ""Fri"": [""12:00-21:00""], ""Sat"": [""12:00-21:00""], ""Sun"": [""12:00-21:00""]}",7.0,63.0,7.0,4.0,303.0,English,135.0,63.0,43.0,18.0,7.0,4.0,4.5,4.0,4.0,,"baked potato, steak, salad, cheesecake, fries"
g187309-d10094663,55Eleven,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Amalienstr. 55 80799 Munich, 80799 Munich, Bavaria Germany",48.14961,11.577954,Claimed,,#1363 of 2846 Restaurants in Munich,#1506 of 3608 places to eat in Munich,"Mid-range, Bar, Grill, Pub",€€-€€€,€4-€19,,"Grill, Fusion, Bar, Pub, Diner","Vegetarian Friendly, Gluten Free Options, Vegan Options",,Y,Y,Y,"{""Mon"": [""11:00-01:00""], ""Tue"": [""11:00-01:00""], ""Wed"": [""11:00-01:00""], ""Thu"": [""11:00-01:00""], ""Fri"": [""11:00-03:00""], ""Sat"": [""10:00-03:00""], ""Sun"": [""10:00-18:00""]}",7.0,97.0,7.0,3.5,63.0,English,11.0,4.0,4.0,3.0,0.0,0.0,4.0,3.5,4.0,,
g187309-d10100111,La Bohème,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Leopoldstr. 180 Schwabing, 80804 Munich, Bavaria Germany",48.17292,11.586714,Claimed,"Michelin 2020 for The Michelin Plate: Good cooking, Michelin 2020 for Simple restaurant",#12 of 2846 Restaurants in Munich,#13 of 3608 places to eat in Munich,"Fine Dining, Steakhouse, European, Grill",€€€€,€15-€50,,"Steakhouse, European, Grill","Vegetarian Friendly, Vegan Options, Gluten Free Options",,Y,Y,Y,"{""Mon"": [], ""Tue"": [], ""Wed"": [], ""Thu"": [""17:30-21:00""], ""Fri"": [""17:30-21:00""], ""Sat"": [""17:30-21:00""], ""Sun"": [""10:30-11:30"", ""17:30-21:00""]}",4.0,15.0,5.0,4.5,1131.0,English,189.0,150.0,24.0,6.0,6.0,3.0,4.5,4.5,4.0,,"brunch, steak, chateaubriand, lava cake, truffle"
g187309-d1010023,Jin Restaurant,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Kanalstr. 14, 80538 Munich, Bavaria Germany",48.13597,11.583899,Unclaimed,"Michelin 2020 for The Michelin Plate: Good cooking, Michelin 2020 for Simple restaurant",#564 of 2846 Restaurants in Munich,#606 of 3608 places to eat in Munich,"Fine Dining, Asian, Vegetarian Friendly",€€€€,,"Dinner, Lunch",Asian,Vegetarian Friendly,,Y,N,N,"{""Mon"": [], ""Tue"": [""12:00-14:30"", ""18:00-23:30""], ""Wed"": [""12:00-14:30"", ""18:00-23:30""], ""Thu"": [""12:00-14:30"", ""18:00-23:30""], ""Fri"": [""12:00-14:30"", ""18:00-23:30""], ""Sat"": [""12:00-14:30"", ""18:00-23:30""], ""Sun"": [""12:00-14:30"", ""18:00-23:30""]}",6.0,48.0,12.0,4.0,92.0,English,15.0,12.0,1.0,0.0,2.0,0.0,4.0,4.0,3.5,4.0,
g187309-d1010024,Bombay Tandoori,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Rosenheimer Str. 75, 81667 Munich, Bavaria Germany",48.12781,11.595256,Claimed,Certificate of Excellence 2016,#786 of 2846 Restaurants in Munich,#845 of 3608 places to eat in Munich,"Mid-range, Indian, Asian, Vegetarian Friendly",€€-€€€,,"Lunch, Dinner, After-hours","Indian, Asian","Vegetarian Friendly, Vegan Options",,Y,Y,N,"{""Mon"": [""11:30-14:30"", ""17:30-23:00""], ""Tue"": [""11:30-14:30"", ""17:30-23:00""], ""Wed"": [""11:30-14:30"", ""17:30-23:00""], ""Thu"": [""11:30-14:30"", ""17:30-23:00""], ""Fri"": [""11:30-14:30"", ""17:30-23:00""], ""Sat"": [""17:30-23:00""], ""Sun"": [""11:30-14:30"", ""17:30-23:00""]}",7.0,56.5,13.0,4.0,92.0,English,47.0,20.0,13.0,6.0,4.0,4.0,4.0,4.0,4.0,3.5,
g187309-d10101728,Filos Greek Hot Spot,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Karlsplatz Karstadt Untergeschoss am Stachus, 80335 Munich, Bavaria Germany",48.147797,11.463605,Claimed,,#2715 of 2846 Restaurants in Munich,#3034 of 3608 places to eat in Munich,Greek,,,"Lunch, Dinner",Greek,,"Takeout, Wheelchair Accessible, Reservations",N,N,N,"{""Mon"": [""09:30-20:00""], ""Tue"": [""09:30-20:00""], ""Wed"": [""09:30-20:00""], ""Thu"": [""09:30-20:00""], ""Fri"": [""09:30-20:00""], ""Sat"": [""09:30-20:00""], ""Sun"": []}",6.0,63.0,6.0,4.5,11.0,English,2.0,1.0,1.0,0.0,0.0,0.0,,,,,
g187309-d10104426,Beirutbeirut,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Valleystr. 28, 81371 Munich, Bavaria Germany",48.117523,11.548139,Unclaimed,,#641 of 2846 Restaurants in Munich,#688 of 3608 places to eat in Munich,"Cheap Eats, Lebanese, Middle Eastern, Vegetarian Friendly",€,,"Lunch, Dinner","Lebanese, Middle Eastern","Vegetarian Friendly, Vegan Options, Halal",,Y,Y,N,"{""Mon"": [""11:30-20:00""], ""Tue"": [""11:30-20:00""], ""Wed"": [""11:30-20:00""], ""Thu"": [""11:30-20:00""], ""Fri"": [""11:30-20:00""], ""Sat"": [""11:30-20:00""], ""Sun"": []}",6.0,51.0,6.0,4.5,31.0,English,13.0,8.0,5.0,0.0,0.0,0.0,4.5,4.5,4.5,,
g187309-d10106112,Ledu Dim Sum Bar & Restaurant,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Klenzestr. 62, 80469 Munich, Bavaria Germany",48.128025,11.570303,Claimed,"Certificate of Excellence 2018, Certificate of Excellence 2017",#733 of 2846 Restaurants in Munich,#785 of 3608 places to eat in Munich,"Mid-range, Asian, Vegetarian Friendly, Vegan Options",€€-€€€,,"Lunch, Dinner",Asian,"Vegetarian Friendly, Vegan Options",,Y,Y,N,,,,,4.0,74.0,English,19.0,7.0,6.0,1.0,3.0,2.0,4.0,3.5,4.0,,
g187309-d1010863,Ha Noi,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Schellingstr. 104, 80798 Munich, Bavaria Germany",48.1534,11.56543,Unclaimed,,#2615 of 2846 Restaurants in Munich,#2916 of 3608 places to eat in Munich,"Cheap Eats, Asian, Vietnamese, Vegetarian Friendly",€,€6-€12,,"Vietnamese, Asian",Vegetarian Friendly,,Y,N,N,,,,,3.0,33.0,English,8.0,1.0,4.0,1.0,2.0,0.0,3.5,2.5,3.5,3.5,
