restaurant_link,restaurant_name,original_location,country,region,province,city,address,latitude,longitude,claimed,awards,popularity_detailed,popularity_generic,top_tags,price_level,price_range,meals,cuisines,special_diets,features,vegetarian_friendly,vegan_options,gluten_free,original_open_hours,open_days_per_week,open_hours_per_week,working_shifts_per_week,avg_rating,total_reviews_count,default_language,reviews_count_in_default_language,excellent,very_good,average,poor,terrible,food,service,value,atmosphere,keywords
g187309-d7307377,Ola kala,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Kaiserstr. 65, 80801 Munich, Bavaria Germany",48.161266,11.575906,Claimed,"Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016",#264 of 2846 Restaurants in Munich,#285 of 3608 places to eat in Munich,"Mid-range, European, Greek, Vegetarian Friendly",€€-€€€,€7-€24,,"European, Greek",Vegetarian Friendly,,Y,N,N,"{""Mon"": [""11:00-14:00"", ""17:00-22:00""], ""Tue"": [""11:00-14:00"", ""17:00-22:00""], ""Wed"": [""11:00-14:00"", ""17:00-22:00""], ""Thu"": [""11:00-14:00"", ""17:00-22:00""], ""Fri"": [""11:00-14:00"", ""17:00-22:00""], ""Sat"": [""11:00-14:00"", ""17:00-22:00""], ""Sun"": []}",6.0,48.0,12.0,4.5,148.0,English,27.0,21.0,2.0,1.0,1.0,2.0,4.5,4.5,4.5,4.5,
g187309-d7332833,Irodion,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Friedrich-Hebbel-Str. 18, 81369 Munich, Bavaria Germany",48.11131,11.52591,Unclaimed,,#421 of 2846 Restaurants in Munich,#453 of 3608 places to eat in Munich,"Mid-range, European, Greek, Vegetarian Friendly",€€-€€€,,"Lunch, Dinner","Greek, European",Vegetarian Friendly,,Y,N,N,"{""Mon"": [], ""Tue"": [""11:30-15:00"", ""17:30-23:30""], ""Wed"": [""11:30-15:00"", ""17:30-23:30""], ""Thu"": [""11:30-15:00"", ""17:30-23:30""], ""Fri"": [""11:30-15:00"", ""17:30-23:30""], ""Sat"": [""11:30-15:00"", ""17:30-23:30""], ""Sun"": [""11:30-15:00"", ""17:30-23:30""]}",6.0,57.0,12.0,4.5,59.0,English,13.0,8.0,4.0,1.0,0.0,0.0,4.5,4.5,4.5,,
g187309-d7333178,Die Waldmeister,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Barer Str. 74, 80799 Munich, Bavaria Germany",48.152,11.57415,Unclaimed,,#1878 of 2846 Restaurants in Munich,#2088 of 3608 places to eat in Munich,"Mid-range, Cafe, Vegetarian Friendly",€€-€€€,,"Breakfast, Lunch, Brunch",Cafe,Vegetarian Friendly,,Y,N,N,,,,,3.5,28.0,English,7.0,3.0,3.0,1.0,0.0,0.0,4.5,4.5,4.5,,
g187309-d7337127,Gotterspeise Chocolaterie & Cafe,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Jahnstr. 30, 80469 Munich, Bavaria Germany",48.12851,11.569847,Claimed,,#35 of 217 Coffee & Tea in Munich,#890 of 3608 places to eat in Munich,"Mid-range, Dessert, Cafe, Vegetarian Friendly",€€-€€€,,Breakfast,Cafe,Vegetarian Friendly,,Y,N,N,"{""Mon"": [""08:00-19:00""], ""Tue"": [""08:00-19:00""], ""Wed"": [""08:00-19:00""], ""Thu"": [""08:00-19:00""], ""Fri"": [""08:00-19:00""], ""Sat"": [""08:00-18:00""], ""Sun"": []}",6.0,65.0,6.0,4.5,23.0,English,5.0,4.0,1.0,0.0,0.0,0.0,4.5,4.5,4.0,,
g187309-d7337360,Mueller Bistro & Café,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Sonnenstr. 9, 80331 Munich, Bavaria Germany",48.13823,11.56536,Claimed,,#614 of 2846 Restaurants in Munich,#658 of 3608 places to eat in Munich,"Cheap Eats, German, Austrian, Cafe",€,,"Brunch, Breakfast, Drinks, Lunch, Dinner","European, German, Austrian, Cafe",Vegetarian Friendly,,Y,N,N,"{""Mon"": [""06:30-19:00""], ""Tue"": [""06:30-19:00""], ""Wed"": [""06:30-19:00""], ""Thu"": [""06:30-19:00""], ""Fri"": [""06:30-19:00""], ""Sat"": [""06:30-19:00""], ""Sun"": [""07:00-14:00""]}",7.0,82.0,7.0,4.5,50.0,English,11.0,7.0,2.0,1.0,1.0,0.0,4.5,4.0,4.0,,
g187309-d7342193,Grillin Me Softly,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Barer Str. 34, 80333 Munich, Bavaria Germany",48.14606,11.57095,Unclaimed,,#1796 of 2846 Restaurants in Munich,#2001 of 3608 places to eat in Munich,Fast food,,,,Fast food,,,N,N,N,,,,,4.5,8.0,English,3.0,3.0,0.0,0.0,0.0,0.0,,,,,
g187309-d7342940,TURKITCH Kofte & Kebap,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Humboldtstr. 20, 81543 Munich, Bavaria Germany",48.120293,11.573487,Claimed,"Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016",#8 of 60 Quick Bites in Munich,#312 of 3608 places to eat in Munich,"Cheap Eats, Quick Bites, Fast food, Turkish",€,,"Lunch, Dinner","Fast food, Turkish, Middle Eastern","Vegetarian Friendly, Vegan Options, Halal",,Y,Y,N,"{""Mon"": [""11:00-22:00""], ""Tue"": [""11:00-22:00""], ""Wed"": [""11:00-22:00""], ""Thu"": [""11:00-22:00""], ""Fri"": [""11:00-22:00""], ""Sat"": [""11:00-22:00""], ""Sun"": [""13:00-22:00""]}",7.0,75.0,7.0,4.5,201.0,English,53.0,35.0,10.0,4.0,3.0,1.0,4.5,4.0,4.5,,
g187309-d7342961,Asia Bistro Minh,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Amalienstr. 37, 80799 Munich, Bavaria Germany",48.148335,11.577175,Unclaimed,,#847 of 2846 Restaurants in Munich,#913 of 3608 places to eat in Munich,"Cheap Eats, Asian, Vegetarian Friendly, Vegan Options",€,,"Lunch, Dinner",Asian,"Vegetarian Friendly, Vegan Options",,Y,Y,N,"{""Mon"": [""10:30-22:30""], ""Tue"": [""10:30-22:30""], ""Wed"": [""10:30-22:30""], ""Thu"": [""10:30-22:30""], ""Fri"": [""10:30-22:30""], ""Sat"": [], ""Sun"": [""10:30-22:30""]}",6.0,72.0,6.0,4.5,35.0,English,13.0,5.0,4.0,2.0,1.0,1.0,5.0,4.0,4.5,,
g187309-d7345220,Wuid Barwirtschaft,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Humboldtstr. 20, 81543 Munich, Bavaria Germany",48.120148,11.573664,Unclaimed,Certificate of Excellence 2016,#802 of 2846 Restaurants in Munich,#864 of 3608 places to eat in Munich,"Mid-range, Bar, Gastropub, Vegetarian Friendly",€€-€€€,,Dinner,"Bar, Gastropub",Vegetarian Friendly,,Y,N,N,"{""Mon"": [], ""Tue"": [""17:00-01:00""], ""Wed"": [""17:00-01:00""], ""Thu"": [""17:00-01:00""], ""Fri"": [""17:00-01:00""], ""Sat"": [""17:00-01:00""], ""Sun"": [""17:00-01:00""]}",6.0,48.0,6.0,4.5,65.0,English,9.0,4.0,1.0,3.0,0.0,1.0,4.0,4.5,4.0,,
g187309-d7347381,Westends Best Doner Kebap,"[""Europe"", ""Germany"", ""Bavaria"", ""Upper Bavaria"", ""Munich""]",Germany,Bavaria,Upper Bavaria,Munich,"Trappentreustr. 17, 80339 Munich, Bavaria Germany",48.13771,11.534586,Unclaimed,,#544 of 2846 Restaurants in Munich,#585 of 3608 places to eat in Munich,"Cheap Eats, Fast food, Turkish, Middle Eastern",€,,"Lunch, Dinner","Fast food, Turkish, Middle Eastern","Vegetarian Friendly, Halal",,Y,N,N,"{""Mon"": [""08:00-22:00""], ""Tue"": [""08:00-22:00""], ""Wed"": [""08:00-22:00""], ""Thu"": [""08:00-22:00""], ""Fri"": [""08:00-22:00""], ""Sat"": [""08:00-22:00""], ""Sun"": [""08:00-22:00""]}",7.0,98.0,7.0,4.5,44.0,English,21.0,18.0,3.0,0.0,0.0,0.0,4.5,4.5,4.5,,
